text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",28,1,IBYCkWWh3qtsOERQh92XfprpNGI,snf,snf,𓊃𓐰𓈖𓐰𓆑𓂐𓐰𓏥,𓊃𓈖𓆑𓂐𓏥,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']",137250,znf,NOUN,,Blut,,,0.0,"['𓊃', '𓈖', '𓆑', '𓂐', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",28,2,IBYCkyS3jieeM0CbmUEhhV1mWg0,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",28,3,IBYCk4gEbITNkEWHgWfdhUVkeiI,bqs.w,bqs.w,𓃀𓈎𓇓𓏲𓄹𓐰𓏥,𓃀𓈎𓇓𓏲𓄹𓏥,"['𓃀', '𓈎', '𓇓', '𓏲', '𓄹', '𓏥']",57780,bqs.w,NOUN,,Wirbelsäule,,,0.0,"['𓃀', '𓈎', '𓇓', '𓏲', '𓄹', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",28,4,IBYCk9ktA1usnUWZiFwhE5iypqI,n{.w},n,𓏌𓏤,𓏌𓏤,"['𓏌', '𓏤']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓏌', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",28,5,IBYCk1rXKVpPY0kjivnILdGlDtM,gꜣbg.w,gꜣbg.w,𓎼𓄿𓃀𓎼𓏲𓅬,𓎼𓄿𓃀𓎼𓏲𓅬,"['𓎼', '𓄿', '𓃀', '𓎼', '𓏲', '𓅬']",166410,gꜣbg.w,NOUN,,[ein Vogel],,,0.0,"['𓎼', '𓄿', '𓃀', '𓎼', '𓏲', '𓅬']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",29,1,IBYCk5NrA2gHC0GajSSI36gNdxM,rḏi̯,rḏi̯,𓂋𓐰𓂝,𓂋𓂝,"['𓂋', '𓂝']",96700,rḏi̯,VERB,,geben; legen; setzen; zeigen,,,0.0,"['𓂋', '𓂝']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",29,2,IBYCk0zwRQkXoETlugtIkGM5jlw,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",107521,ḥr,PREP,,von ... her (Herkunft); hin zu; gegen (Richtung); [räumlich/gerichtet],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",29,3,IBYCkwR05jWDzU0IkiNJt6oJfAA,ꞽbrꞽ,ꞽbrꞽ,𓇋𓃀|lb𓂋𓇋𓈒𓐰𓏥,𓇋𓃀𓂋𓇋𓈒𓏥,"['𓇋', '𓃀', '𓂋', '𓇋', '𓈒', '𓏥']",23780,ꞽbr,NOUN,,[ein Öl (Ladanum?)],,,0.0,"['𓇋', '𓃀', '𓂋', '𓇋', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",29,5,IBYCkxfIvwRnA01Kkk71X759QSY,mꜣꜥ,mꜣꜥ,𓌷𓐰𓂝𓏛,𓌷𓂝𓏛,"['𓌷', '𓂝', '𓏛']",66460,mꜣꜥ,ADJ,,gerecht; richtig; wahr,,,0.0,"['𓌷', '𓂝', '𓏛']","['complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",30,1,IBYCkyjT5c4M5E8xugzMtqEvGlU,wrḥ,wrḥ,𓅨𓐰𓂋𓎛𓏌𓐰𓂝,𓅨𓂋𓎛𓏌𓂝,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']",48030,wrḥ,VERB,,aufstreichen; salben,,,0.0,"['𓅨', '𓂋', '𓎛', '𓏌', '𓂝']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",30,2,IBYCk0QUF6R920D9vyjsZqjN2iU,ꞽm,ꞽm,𓇋𓅓,𓇋𓅓,"['𓇋', '𓅓']",24640,ꞽm,ADV,,da; dort; davon; dadurch; damit,,,0.0,"['𓇋', '𓅓']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,1,IBYCkWmdpxdynUS3sOlAy8CQz0E,sti̯.ꞽn,sti̯.ꞽn,𓄝𓐰𓏏𓀜𓇋𓈖,𓄝𓏏𓀜𓇋𓈖,"['𓄝', '𓏏', '𓀜', '𓇋', '𓈖']",147590,sti̯,VERB,,werfen,,,0.0,"['𓄝', '𓏏', '𓀜', '𓇋', '𓈖']","['complete', 'complete', 'complete', 'complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,2,IBYCkWNTFL2IgkPNserYeaUbwxw,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,3,IBYCkwM1JWK1WEY4pOpjT2d54j4,ꜥ,ꜥ,𓂝𓏤,𓂝𓏤,"['𓂝', '𓏤']",34320,ꜥ,NOUN,,Arm; Hand,,,0.0,"['𓂝', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,4,IBYCk5wp29qpW03vpPm0lOPRJNY,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,5,IBYCk9di39EI7UUyjTTRCZxY5RM,ḥr,ḥr,𓁷𓏤,𓁷𓏤,"['𓁷', '𓏤']",400090,ḥr,PREP,,auf; über; vor; hinter; [lokal],,,0.0,"['𓁷', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,6,IBYCkwQYCNWffkt9geBIWdKBUdI,sꜣ,sꜣ,𓐟𓏤,𓐟𓏤,"['𓐟', '𓏤']",125670,sꜣ,NOUN,,Rücken; Rückseite,,,0.0,"['𓐟', '𓏤']","['complete', 'complete']"
7YKDGDFXMVDU7FGWTYWL5VG7IA,"Medizinische Texte || pEbers || 65,8-66,7: Eb 451-463: Heilmittel gegen Ergrauen des Haares",31,7,IBYCkx2BjZzQO0Gjpnh4tzdHecw,n,n,𓈖,𓈖,['𓈖'],79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,['𓈖'],['complete']
