id,group,addressee
b05_h062,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h063,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h064,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h065,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h066,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h067,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h068,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h069,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h070,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h071,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h072,Hymns to Mitra-Varuna,Mitra and Varuna
b05_h073,Hymns to the Asvins,Asvins
b05_h074,Hymns to the Asvins,Asvins
b05_h075,Hymns to the Asvins,Asvins
b05_h076,Hymns to the Asvins,Asvins
b05_h077,Hymns to the Asvins,Asvins
b05_h078,Hymns to the Asvins,Asvins
b05_h079,Hymns to Various Gods,Usas
b05_h080,Hymns to Various Gods,Usas
b05_h081,Hymns to Various Gods,Savitri
b05_h082,Hymns to Various Gods,Savitri
b05_h083,Hymns to Various Gods,Parjanya
b05_h084,Hymns to Various Gods,Earth
b05_h085,Hymns to Various Gods,Varuna
b05_h086,Hymns to Various Gods,Indra and Agni
b05_h087,Hymns to Various Gods,The Maruts
b06_h001,Hymns to Agni,Agni
b06_h002,Hymns to Agni,Agni
b06_h003,Hymns to Agni,Agni
b06_h004,Hymns to Agni,Agni
b06_h005,Hymns to Agni,Agni
b06_h006,Hymns to Agni,Agni
b06_h007,Hymns to Agni,Agni Vaisvanara
b06_h008,Hymns to Agni,Agni Vaisvanara
b06_h009,Hymns to Agni,Agni Vaisvanara
b06_h010,Hymns to Agni,Agni
b06_h011,Hymns to Agni,Agni
b06_h012,Hymns to Agni,Agni
b06_h013,Hymns to Agni,Agni
b06_h014,Hymns to Agni,Agni
b06_h015,Hymns to Agni,Agni
b06_h016,Hymns to Agni,Agni
b06_h017,Hymns to Indra,Indra
b06_h018,Hymns to Indra,Indra
b06_h019,Hymns to Indra,Indra
b06_h020,Hymns to Indra,Indra
b06_h021,Hymns to Indra,Indra
b06_h022,Hymns to Indra,Indra
b06_h023,Hymns to Indra,Indra
b06_h024,Hymns to Indra,Indra
b06_h025,Hymns to Indra,Indra
b06_h026,Hymns to Indra,Indra
b06_h027,Hymns to Indra,Indra
b06_h028,Hymns to Indra,The Cows and Indra
b06_h029,Hymns to Indra,Indra
b06_h030,Hymns to Indra,Indra
b06_h031,Hymns to Indra,Indra
b06_h032,Hymns to Indra,Indra
b06_h033,Hymns to Indra,Indra
b06_h034,Hymns to Indra,Indra
b06_h035,Hymns to Indra,Indra
b06_h036,Hymns to Indra,Indra
b06_h037,Hymns to Indra,Indra
b06_h038,Hymns to Indra,Indra
b06_h039,Hymns to Indra,Indra
b06_h040,Hymns to Indra,Indra
b06_h041,Hymns to Indra,Indra
b06_h042,Hymns to Indra,Indra
b06_h043,Hymns to Indra,Indra
b06_h044,Hymns to Indra,Indra
b06_h045,Hymns to Indra,Indra
b06_h046,Hymns to Indra,Indra
